name,sub-region
Algeria,Northern Africa
Egypt,Northern Africa
Libya,Northern Africa
Morocco,Northern Africa
Sudan,Northern Africa
Tunisia,Northern Africa
Western Sahara,Northern Africa
British Indian Ocean Territory,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Djibouti,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
French Southern Territories,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Reunion,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Angola,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Republic of the Congo,Sub-Saharan Africa
Congo [Republic of the Congo],Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Cape Verde,Sub-Saharan Africa
C?te d'Ivoire [Ivory Coast],Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
"Saint Helena [Saint Helena, Ascension and Tristan da Cunha]",Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Anguilla,Latin America and the Caribbean / North America
Antigua and Barbuda,Latin America and the Caribbean / North America
Aruba,Latin America and the Caribbean / North America
Bahamas,Latin America and the Caribbean / North America
Barbados,Latin America and the Caribbean / North America
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean / North America
British Virgin Islands,Latin America and the Caribbean / North America
Cayman Islands,Latin America and the Caribbean / North America
Cuba,Latin America and the Caribbean / North America
Cura?ao,Latin America and the Caribbean / North America
Dominica,Latin America and the Caribbean / North America
Dominican Republic,Latin America and the Caribbean / North America
Grenada,Latin America and the Caribbean / North America
Guadeloupe,Latin America and the Caribbean / North America
Haiti,Latin America and the Caribbean / North America
Jamaica,Latin America and the Caribbean / North America
Martinique,Latin America and the Caribbean / North America
Montserrat,Latin America and the Caribbean / North America
Puerto Rico,Latin America and the Caribbean / North America
Saint Barth?lemy,Latin America and the Caribbean / North America
Saint Kitts and Nevis,Latin America and the Caribbean / North America
Saint Lucia,Latin America and the Caribbean / North America
Saint Martin (French part),Latin America and the Caribbean / North America
Saint Vincent and the Grenadines,Latin America and the Caribbean / North America
Sint Maarten (Dutch part),Latin America and the Caribbean / North America
Trinidad and Tobago,Latin America and the Caribbean / North America
Turks and Caicos Islands,Latin America and the Caribbean / North America
United States Virgin Islands,Latin America and the Caribbean / North America
Belize,Latin America and the Caribbean / North America
Costa Rica,Latin America and the Caribbean / North America
El Salvador,Latin America and the Caribbean / North America
Guatemala,Latin America and the Caribbean / North America
Honduras,Latin America and the Caribbean / North America
Mexico,Latin America and the Caribbean / North America
Nicaragua,Latin America and the Caribbean / North America
Panama,Latin America and the Caribbean / North America
Argentina,Latin America and the Caribbean
Bolivia,Latin America and the Caribbean
Bouvet Island,Latin America and the Caribbean
Brazil,Latin America and the Caribbean
Chile,Latin America and the Caribbean
Colombia,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
Falkland Islands (Malvinas),Latin America and the Caribbean
French Guiana,Latin America and the Caribbean
Guyana,Latin America and the Caribbean
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
South Georgia and the South Sandwich Islands,Latin America and the Caribbean
Suriname,Latin America and the Caribbean
Uruguay,Latin America and the Caribbean
Venezuela,Latin America and the Caribbean
Bermuda,North America
Canada,North America
Greenland,North America
Saint Pierre and Miquelon,North America
United States of America,North America
Antarctica,
Kazakhstan,Central Asia
Kyrgyzstan,Central Asia
Tajikistan,Central Asia
Turkmenistan,Central Asia
Uzbekistan,Central Asia
China,Eastern Asia
Hong Kong,Eastern Asia
"China, Macao Special Administrative Region",Eastern Asia
Democratic People's Republic of Korea [North Korea],Eastern Asia
Korea,Eastern Asia
Japan,Eastern Asia
Mongolia,Eastern Asia
South Korea,Eastern Asia
Brunei,South-eastern Asia
Brunei Darussalam,South-eastern Asia
Cambodia,South-eastern Asia
Indonesia,South-eastern Asia
Lao People's Democratic Republic,South-eastern Asia
Malaysia,South-eastern Asia
Myanmar,South-eastern Asia
Philippines,South-eastern Asia
Singapore,South-eastern Asia
Thailand,South-eastern Asia
East Timor,South-eastern Asia
Timor-Leste [East Timor],South-eastern Asia
Viet Nam,South-eastern Asia
Afghanistan,Southern Asia
Bangladesh,Southern Asia
Bhutan,Southern Asia
India,Southern Asia
Iran,Southern Asia
Maldives,Southern Asia
Nepal,Southern Asia
Pakistan,Southern Asia
Sri Lanka,Southern Asia
Armenia,Western Asia
Azerbaijan,Western Asia
Bahrain,Western Asia
Cyprus,Western Asia
Georgia,Western Asia
Iraq,Western Asia
Israel,Western Asia
Jordan,Western Asia
Kuwait,Western Asia
Lebanon,Western Asia
Oman,Western Asia
Qatar,Western Asia
Saudi Arabia,Western Asia
State of Palestine,Western Asia
Syria,Western Asia
Turkey,Western Asia
United Arab Emirates,Western Asia
Yemen,Western Asia
Belarus,Eastern Europe
Bulgaria,Eastern Europe
Czech Republic,Eastern Europe
Hungary,Eastern Europe
Poland,Eastern Europe
Moldova,Eastern Europe
Romania,Eastern Europe
Russia,Eastern Europe
Slovakia,Eastern Europe
Ukraine,Eastern Europe
?land Islands,Northern Europe
Guernsey,Northern Europe
Jersey,Northern Europe
Sark,Northern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Faroe Islands,Northern Europe
Finland,Northern Europe
Iceland,Northern Europe
Ireland,Northern Europe
Isle of Man,Northern Europe
Latvia,Northern Europe
Lithuania,Northern Europe
Norway,Northern Europe
Svalbard and Jan Mayen Islands,Northern Europe
Sweden,Northern Europe
United Kingdom,Northern Europe
Albania,Southern Europe
Andorra,Southern Europe
Bosnia and Herzegovina,Southern Europe
Croatia,Southern Europe
Gibraltar,Southern Europe
Greece,Southern Europe
Holy See [Vatican City],Southern Europe
Italy,Southern Europe
Malta,Southern Europe
Montenegro,Southern Europe
Macedonia,Southern Europe
North Macedonia,Southern Europe
Portugal,Southern Europe
San Marino,Southern Europe
Serbia,Southern Europe
Slovenia,Southern Europe
Spain,Southern Europe
Austria,Western Europe
Belgium,Western Europe
France,Western Europe
Germany,Western Europe
Liechtenstein,Western Europe
Luxembourg,Western Europe
Monaco,Western Europe
Netherlands,Western Europe
Switzerland,Western Europe
Australia,Australia and New Zealand
Christmas Island,Australia and New Zealand
Cocos (Keeling) Islands,Australia and New Zealand
Heard Island and McDonald Islands,Australia and New Zealand
New Zealand,Australia and New Zealand
Norfolk Island,Australia and New Zealand
Fiji,Melanesia
New Caledonia,Melanesia
Papua New Guinea,Melanesia
Solomon Islands,Melanesia
Vanuatu,Melanesia
Guam,Micronesia
Kiribati,Micronesia
Marshall Islands,Micronesia
Micronesia (Federated States of),Micronesia
Nauru,Micronesia
Northern Mariana Islands,Micronesia
Palau,Micronesia
