_id,cenmigID,Run,Sample_Name,BioProject,BioSample,Experiment,Organism,Serovar,isolation_source,Collection_date,Center_Name,geo_loc,geo_loc_name_country,geo_loc_name_country_continent,sub_region,Assay_Type,LibrarySource,LibrarySelection,LibraryLayout,Platform,Instrument,host_disease_stage,lat_lon,host,host_disease,asm_acc,AMR_genotypes,ftp_path
619b3cbf570f24c02dcae5ed,ERR053008,ERR053008,WBG1986-sc-2011-07-08T12:22:54Z-1198597SAMEA1021972,PRJEB2295,SAMEA1021972,ERX030056,Staphylococcus aureus,Not known,not known,1982,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5ee,ERR053009,ERR053009,WBG1987-sc-2011-07-08T12:22:58Z-1198598SAMEA1021981,PRJEB2295,SAMEA1021981,ERX030057,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5ef,ERR053010,ERR053010,WBG1988-sc-2011-07-08T12:23:01Z-1198599SAMEA1021994,PRJEB2295,SAMEA1021994,ERX030058,Staphylococcus aureus,Not known,not known,1982,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f0,ERR053011,ERR053011,WBG1991-sc-2011-07-08T12:23:03Z-1198600SAMEA1022003,PRJEB2295,SAMEA1022003,ERX030059,Staphylococcus aureus,Not known,not known,1982,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f1,ERR053012,ERR053012,WBG1992-sc-2011-07-08T12:23:06Z-1198601SAMEA1022020,PRJEB2295,SAMEA1022020,ERX030060,Staphylococcus aureus,Not known,not known,1982,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f2,ERR053013,ERR053013,WBG1997-sc-2011-07-08T12:23:08Z-1198602SAMEA1021787,PRJEB2295,SAMEA1021787,ERX030061,Staphylococcus aureus,Not known,not known,1982,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f3,ERR053014,ERR053014,WBG4997-sc-2011-07-08T12:23:11Z-1198603SAMEA1021823,PRJEB2295,SAMEA1021823,ERX030062,Staphylococcus aureus,Not known,not known,1982,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f4,ERR053015,ERR053015,WBG6119-sc-2011-07-08T12:23:13Z-1198604SAMEA1021807,PRJEB2295,SAMEA1021807,ERX030063,Staphylococcus aureus,Not known,not known,1985,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f5,ERR053016,ERR053016,WBG8484-sc-2011-07-08T12:23:16Z-1198605SAMEA1021856,PRJEB2295,SAMEA1021856,ERX030064,Staphylococcus aureus,Not known,not known,1985,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f6,ERR053017,ERR053017,WBG8485-sc-2011-07-08T12:23:18Z-1198606SAMEA1021848,PRJEB2295,SAMEA1021848,ERX030065,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
